etykieta_oryginalna;etykieta_przezn;count;grupa_glowna
MN.03;MN.03;52;M
S7MU1;S7MU1;52;M
42MU;42MU;50;M
75MU;75MU;50;M
MN(MW);MN(MW);48;M
S1MU1;S1MU1;48;M
72MU;72MU;48;M
6MN;6MN;48;M
S1MU7;S1MU7;48;M
74MU;74MU;48;M
S5MU13;S5MU13;48;M
71MU;71MU;46;M
43MU;43MU;44;M
25MU;25MU;34;M
63MU;63MU;32;M
MN;MN;32;M
4MN;4MN;32;M
2MW/U;2MW/U;32;M
39MU;39MU;30;M
S1MN2;S1MN2;30;M
MNU;MNU;16;M
5MN;5MN;16;M
1KD;1KD;4048;K
D6;D6;2998;K
D12;D12;2536;K
D9;D9;2502;K
D5;D5;2324;K
D26;D26;2190;K
D2;D2;2120;K
D1;D1;2062;K
D11;D11;2060;K
D4;D4;1952;K
G1;G1;1788;K
D8;D8;1784;K
D3;D3;1738;K
D14;D14;1718;K
D13;D13;1678;K
D7;D7;1654;K
D10;D10;1622;K
KT1;KT1;1404;K
D15;D15;1248;K
D20;D20;1224;K
D17;D17;1168;K
1KP;1KP;1066;K
D23;D23;1042;K
1KDD;1KDD;982;K
7KD;7KD;928;K
D18;D18;862;K
D19;D19;820;K
5KD;5KD;814;K
4KD;4KD;738;K
2KD;2KD;736;K
D37;D37;714;K
D24;D24;712;K
3KD;3KD;676;K
D16;D16;588;K
2KDW;2KDW;586;K
D36;D36;566;K
2KDD;2KDD;550;K
S5KP3;S5KP3;550;K
S4D7;S4D7;548;K
D25;D25;546;K
1KDW;1KDW;536;K
S4D5;S4D5;528;K
D31;D31;526;K
D27;D27;484;K
D30;D30;478;K
6KD;6KD;452;K
KS1;KS1;442;K
D21;D21;438;K
D22;D22;430;K
D34;D34;430;K
S5KP4;S5KP4;414;K
S4KP3;S4KP3;412;K
D35;D35;400;K
KD;KD;372;K
D38;D38;364;K
4KDW;4KDW;358;K
1KPJ;1KPJ;336;K
1KDL;1KDL;334;K
2D15;2D15;330;K
S7D3;S7D3;310;K
D39;D39;304;K
KP2;KP2;302;K
S7D1;S7D1;298;K
1KDZ;1KDZ;292;K
S4D8;S4D8;290;K
4D15;4D15;288;K
S4D4;S4D4;284;K
S7D11;S7D11;282;K
D47;D47;282;K
KW1;KW1;282;K
S5D1;S5D1;264;K
D32;D32;264;K
S7D7;S7D7;250;K
D 15;D 15;220;K
6D12;6D12;216;K
5D12;5D12;216;K
S6D3;S6D3;208;K
S1D4;S1D4;208;K
S1D6;S1D6;204;K
S4D9;S4D9;202;K
S6D1;S6D1;202;K
S4KP2;S4KP2;200;K
D33;D33;198;K
3KDD;3KDD;188;K
S4D3;S4D3;186;K
S1D2;S1D2;184;K
1KDS;1KDS;184;K
S4D1;S4D1;182;K
S5D4;S5D4;178;K
S6KP2;S6KP2;174;K
3D12;3D12;174;K
S5KP2;S5KP2;168;K
S1D3;S1D3;166;K
4KDL;4KDL;164;K
KW.X.03;KW.X.03;164;K
1KDJ;1KDJ;160;K
S4D2;S4D2;160;K
S4D11;S4D11;156;K
S7D2;S7D2;154;K
S7D9;S7D9;154;K
S4KP5;S4KP5;148;K
D28;D28;148;K
D29;D29;148;K
D45;D45;146;K
8D15;8D15;146;K
S6D2;S6D2;144;K
S7D10;S7D10;144;K
S7D5;S7D5;144;K
KP1;KP1;142;K
8KD;8KD;134;K
S2D3;S2D3;132;K
3KDW;3KDW;130;K
S7D13;S7D13;122;K
S4D6;S4D6;120;K
S5D6;S5D6;116;K
4KPJ;4KPJ;112;K
KD.D.01;KD.D.01;110;K
S7KP1;S7KP1;106;K
KDJ;KDJ;106;K
S3KP;S3KP;96;K
1D15;1D15;96;K
S3D1;S3D1;94;K
S2D2;S2D2;92;K
9D15;9D15;92;K
1KDGP;1KDGP;92;K
3KPJ;3KPJ;88;K
S1KS;S1KS;88;K
S2D1;S2D1;86;K
2KPJ;2KPJ;80;K
7D15;7D15;78;K
1KPR;1KPR;74;K
5KDW;5KDW;74;K
S4D10;S4D10;70;K
7D12;7D12;66;K
D40;D40;64;K
5KPJ;5KPJ;64;K
KD.D.02;KD.D.02;62;K
2KDL;2KDL;60;K
1KS;1KS;58;K
S1D1;S1D1;58;K
D;D;56;K
S5D3;S5D3;52;K
KD.Z.04;KD.Z.04;48;K
S4KP4;S4KP4;48;K
D 12;D 12;48;K
S7D4;S7D4;46;K
S7D12;S7D12;46;K
2KS;2KS;44;K
2KP;2KP;40;K
S5D2;S5D2;36;K
Da10;Da10;32;K
S4KP1;S4KP1;32;K
KT2;KT2;32;K
1K;1K;32;K
18KDW;18KDW;32;K
3KP;3KP;28;K
3KDL;3KDL;28;K
D48;D48;20;K
KP;KP;18;K
3KD6;3KD6;16;K
1KD12;1KD12;16;K
D10/1x5/;D10/1x5/;16;K
2KDS;2KDS;14;K
S2CP1;S2CP1;48;K
1CPJ;1CPJ;46;K
1CP;1CP;14;K
Z1;Z1;2460;Z
ZP1;ZP1;1400;Z
ZI2;ZI2;1186;Z
Z2;Z2;1086;Z
Z9;Z9;1038;Z
1ZP;1ZP;942;Z
ZN2;ZN2;932;Z
ZI1;ZI1;884;Z
ZN1;ZN1;788;Z
ZN3;ZN3;704;Z
Z8;Z8;604;Z
ZD1;ZD1;592;Z
ZN6;ZN6;492;Z
1ZU;1ZU;462;Z
2ZP;2ZP;452;Z
Z7;Z7;428;Z
ZN5;ZN5;420;Z
Z3;Z3;420;Z
ZD2;ZD2;414;Z
6ZP;6ZP;386;Z
Z5;Z5;340;Z
ZI3;ZI3;288;Z
1ZI;1ZI;286;Z
Z4;Z4;268;Z
ZN4;ZN4;240;Z
S7ZE1;S7ZE1;234;Z
S5ZP1,KP1,US20;S5ZP1,KP1,US20;212;Z
S2ZP1;S2ZP1;184;Z
3ZN;3ZN;182;Z
ZD4;ZD4;178;Z
3ZP;3ZP;178;Z
4ZU;4ZU;170;Z
S5ZP2;S5ZP2;170;Z
S7ZO1;S7ZO1;166;Z
S6ZP1;S6ZP1;156;Z
Z6;Z6;142;Z
S4ZP1;S4ZP1;126;Z
2ZL;2ZL;126;Z
S2ZP3;S2ZP3;120;Z
ZI;ZI;110;Z
ZP3;ZP3;104;Z
ZP4;ZP4;102;Z
ZD3;ZD3;94;Z
S5ZI2;S5ZI2;94;Z
S3ZP;S3ZP;90;Z
S2ZP4;S2ZP4;88;Z
1Zn;1Zn;86;Z
ZP2;ZP2;86;Z
S5ZP3;S5ZP3;82;Z
1ZL;1ZL;80;Z
ZN8;ZN8;80;Z
S5ZI3;S5ZI3;78;Z
S4ZP2;S4ZP2;76;Z
1ZZ/ZU;1ZZ/ZU;74;Z
S2ZP2;S2ZP2;74;Z
3ZI;3ZI;72;Z
S7ZI1,KP2;S7ZI1,KP2;70;Z
4ZI;4ZI;62;Z
ZL1;ZL1;62;Z
